Transaction ID,Revenue ID,Sales Order ID,Membership ID,Transaction Date,Revenue Application Amount,Order Item Discount,Order Item Refund,Order Item Amount,Action,Purchased Membership Expiration Date,Purchased Membership Is Gift,Sales Method Type,Sales Order Status,Refund Status,Payment Method,Transaction Type,Inbound Channel,Expiration Date,Is Gift,Last Renewed,Member Since,Membership Level,Membership Level Type,Membership Program,Status,Purchased Membership Level,Purchased Membership Term Amount,Purchased Membership Term Sequence,Purchased Membership Term Length,Promo Amount,Promo Name,Number of Members,Membership Transaction\Revenue Application\Base currency ID,Membership Transaction\Membership Level Term\Base currency ID,Membership Transaction\Membership Promotion\Base currency ID,QUERYRECID
e6b3f4d2-6591-474b-906a-c95ea72cb3f8,,,3498,11/1/1982,,,,,Join,11/1/1990,No,,,,,,,,No,,11/1/1982,Individual Senior,,MOHAI Membership,Cancelled,Individual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,12a81c3a-721a-4a34-9a4a-8fb14dce2166
359ed932-6011-444d-96f3-e00efa5f794e,,,988,11/1/1982,,,,,Join,11/1/1983,No,,,,,,,,No,,11/1/1982,Patron,,MOHAI Membership,Cancelled,Patron,$250.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,aefaa18d-2f17-4eba-a07e-6768443a48f2
ce13d86b-87f6-4210-a361-e2795061cf46,,,3100,11/1/1982,,,,,Join,1/10/1993,No,,,,,,,,No,5/1/1998,11/1/1982,Patron,,MOHAI Membership,Cancelled,Family (Old),$34.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,912a89ff-7711-4278-9917-6bbef436105f
15c5c914-14f1-455d-9473-02b33264b0c1,,,1247,12/1/1982,,,,,Join,12/1/1983,No,,,,,,,,No,,12/1/1982,Individual (Old),,MOHAI Membership,Cancelled,Individual (Old),$25.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,437637a0-eece-4699-a9ff-1592968560dd
ad0216f9-b315-412e-a360-32b3cc57e2ff,,,3200,12/1/1982,,,,,Join,11/17/1993,No,,,,,,,,No,7/1/1998,12/1/1982,Patron,,MOHAI Membership,Cancelled,Benefactor,$500.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,fc231d94-343d-454e-bc25-45ce1021e257
13ddf97a-88c1-4262-be12-49c20bba7eb9,,,1639,12/1/1982,,,,,Join,12/1/1990,No,,,,,,,,No,,12/1/1982,Family (Old),,MOHAI Membership,Cancelled,Family (Old),$34.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,41abb4b4-1ba9-4d7c-bb6b-eb6d714be04c
6c2a2ecb-ca1e-4965-a760-577191cb72fd,,,2129,12/1/1982,,,,,Join,12/1/1983,No,,,,,,,,No,,12/1/1982,Family (Old),,MOHAI Membership,Cancelled,Family (Old),$34.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,7371b4e5-64f1-4815-ad58-7b52e46bdbb7
e6fed924-b353-4752-a3e4-584bd0dc6da1,,,3350,12/1/1982,,,,,Join,12/1/1989,No,,,,,,,,No,,12/1/1982,Individual (Old),,MOHAI Membership,Cancelled,Individual (Old),$25.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,585b7573-28a3-4588-ae69-a69de0dac958
9119a97e-a6b0-4a52-99ae-6cf89c05a546,,,1312,12/1/1982,,,,,Join,10/31/1994,No,,,,,,,,No,,12/1/1982,Family (Old),,MOHAI Membership,Cancelled,Family (Old),$34.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,44c3c44f-2d83-4112-b156-949e79327a27
36f11db4-82a9-4f12-8079-85ba26b8146d,,,3921,12/1/1982,,,,,Join,2/1/1989,No,,,,,,,,No,,12/1/1982,Family (Old),,MOHAI Membership,Cancelled,Family (Old),$34.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,b5330e9c-afa3-46e7-b6a2-feff3171041d
c1e49803-b29b-481e-9229-9583aac6cfe9,,,3501,12/1/1982,,,,,Join,12/1/1990,No,,,,,,,,No,,12/1/1982,Individual Senior,,MOHAI Membership,Cancelled,Individual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,0f567944-f449-4c45-8221-615b48181857
6fca5e7d-30a6-476b-a1f9-98aff707b6fb,,,531,12/1/1982,,,,,Join,12/1/1989,No,,,,,,,,No,,12/1/1982,Patron,,MOHAI Membership,Cancelled,Patron,$250.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,89eb1ce4-b525-4917-be80-5fe633aba815
08f450ae-19e9-4ef0-96e7-9a446748d781,,,708,12/1/1982,,,,,Join,12/1/1983,No,,,,,,,,No,7/24/2003,12/1/1982,Family (Old),,MOHAI Membership,Cancelled,Family (Old),$34.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,38200999-c203-4d78-ab51-db74c593b017
610500ac-315d-4bf0-a6ee-abad0d5764b0,,,1446,12/1/1982,,,,,Join,12/1/1990,No,,,,,,,,No,,12/1/1982,Individual (Old),,MOHAI Membership,Cancelled,Individual (Old),$25.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,863588b2-2a75-4fc4-a66e-e4a415578a7c
197e3d90-482b-4694-8228-c18aeebe799b,,,2478,12/1/1982,,,,,Join,12/1/1983,No,,,,,,,,No,,12/1/1982,Dual Senior,,MOHAI Membership,Cancelled,Dual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,da9ec898-df32-477a-85c0-ab49b1722ae4
7bd83e3e-1c18-4d34-934d-f2f70b1d9d17,,,1618,12/1/1982,,,,,Join,12/1/1989,No,,,,,,,,No,,12/1/1982,Family (Old),,MOHAI Membership,Cancelled,Family (Old),$34.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,55b85e94-bd93-473c-be0f-7645d0bb23a2
